players,nation,pos,club,age,weekly,mp,starts,minutes,90s,goals,assists,nonpkg,pkmade,pkatt,yellowcrd,redcrd,shots,shtont,shtont%,shot/90,shtont/90,goal/sht,goal/shtont,distance,fksht,plyrtkl,tklw,dribtkl,dribpast,press,blocks,shblck,passblck,int,tkl+int,clr,errleadsht,2yelcrd,fouls,fouldrwn,offsides,cross,pkwon,pkcon,og,recov,aerialwon,aeriallost,won%,sca,sca90,dribsa,fouldsa,defsa,gca,gca90,dribg,fouldg,defg,mn/mp,min%,cmplmatch,subbedon,mn/sub,unsub,ong,onga,passcomp,passatt,passcomp%,livepass,deadpass,fkpass,pasfrmtbck,unprpass,offpasses,outobound,intercpass,blckdpass,touches,succdrib,attdrib,succ%,plyrsdrib,nutmegs,totdist,prgdist,disposs,passtarg,passrecvd,passrec%,progpass
David Raya,ESP,GK,Brentford,25,25000,24,24,2160,24,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,2,0,0,0,1,0,126,0,0,,2,0.08,0,0,0,0,0,0,0,0,68,53.6,14,7,21,3,25,33,705,1051,67.1,771,280,80,0,80,6,38,18,4,1112,0,0,,0,0,2780,1355,0,551,550,99.8,0
John Ruddy,ENG,GK,Wolves,34,5769,2,1,135,1.5,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,89,88.7,33,0,,1,68,27,19,29,65.5,14,15,1,0,4,0,1,0,0,36,0,0,,0,0,39,18,0,9,9,100,0
Jose Sa,POR,GK,Wolves,28,28654,37,37,3285,36.5,0,1,0,0,0,3,0,0,0,,0,0,,,,0,1,0,1,2,10,1,0,1,0,1,3,3,0,3,13,0,0,0,3,1,220,0,0,,4,0.11,0,0,0,1,0.03,0,0,0,80,82,20,4,29,0,35,54,740,1089,68,744,345,86,0,48,3,31,14,1,1201,2,2,100,2,0,3186,1743,0,399,399,100,0
Robert Sanchez,ESP,GK,Brighton,23,10000,37,37,3329,37,0,0,0,0,0,3,1,0,0,,0,0,,,,0,0,0,0,0,5,2,0,2,0,0,0,4,0,0,3,0,0,0,0,0,166,0,0,,4,0.11,0,0,0,0,0,0,0,0,66,55.6,11,9,31,3,29,28,1053,1500,70.2,1190,310,79,0,118,6,43,31,5,1596,0,0,,0,0,4107,2426,0,914,914,100,0
Kasper Schmeichel,DEN,GK,Leicester City,34,130000,37,37,3330,37,0,0,0,0,0,2,0,0,0,,0,0,,,,0,0,0,0,2,2,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,159,0,1,0,5,0.14,0,0,0,2,0.05,0,0,0,47,24.9,4,11,22,13,6,15,902,1253,72,829,424,131,0,74,4,49,23,3,1353,1,1,100,1,0,2453,1104,0,580,574,99,0
Jason Steele,ENG,GK,Brighton,30,15962,1,1,90,1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,90,2.6,1,0,,18,0,3,34,38,89.5,32,6,0,0,0,0,0,0,0,42,0,0,,0,0,90,36,0,28,28,100,0
Zack Steffen,USA,GK,Manchester City,26,46000,1,1,90,1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,0,0,0,0,0,0,0,0,0,0,41,3.6,1,2,17,16,0,0,33,38,86.8,29,9,2,0,5,0,1,0,0,41,0,0,,0,0,58,23,0,20,20,100,0
Danny Ward,WAL,GK,Leicester City,28,20000,1,1,90,1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,1,1,0,0,0,1,1,0,0,0,89,72.7,27,1,57,5,37,37,30,34,88.2,25,9,2,0,1,0,0,0,0,38,0,0,,0,0,70,17,0,18,18,100,0
Thiago Alcantara,ESP,MF,Liverpool,30,200000,25,17,1534,17,1,4,1,0,0,2,0,25,6,24,1.47,0.35,0.04,0.17,18.2,0,58,40,12,28,319,26,2,24,35,93,18,2,0,25,26,0,2,0,0,0,217,37,16,69.8,61,3.58,1,0,3,6,0.35,0,0,0,61,44.9,5,8,22,1,42,7,1325,1479,89.6,1460,19,12,3,216,2,15,42,23,1666,15,24,62.5,15,0,5540,2957,14,1317,1264,96,48
Allan,BRA,MF,Everton,30,70000,28,25,2183,24.3,0,2,0,0,0,7,1,7,3,42.9,0.29,0.12,0,0,24.1,0,77,61,26,62,648,46,9,37,42,119,40,0,0,39,28,0,6,1,0,0,272,12,13,48,32,1.32,0,1,0,6,0.25,0,1,0,78,63.8,17,3,23,5,26,38,757,967,78.3,905,62,21,0,156,5,16,44,29,1235,16,24,66.7,16,3,3839,2018,31,710,657,92.5,19
Dele Alli,ENG,MF,Everton,25,100000,11,1,338,3.8,0,0,0,0,0,3,0,3,0,0,0.8,0,0,,19.3,0,15,10,5,7,127,9,2,7,10,25,7,0,0,11,7,2,4,0,0,0,39,8,11,42.1,10,2.66,0,0,0,1,0.27,0,0,0,31,9.9,0,10,27,7,7,10,114,152,75,140,12,2,1,34,3,3,9,5,232,4,10,40,4,1,659,352,14,172,135,78.5,22
Steven Alzate,COL,MF,Brighton,22,15000,9,5,404,4.5,0,0,0,0,0,0,0,1,1,100,0.22,0.22,0,0,18.4,0,9,8,3,2,79,5,1,4,14,23,10,0,0,6,8,0,2,0,0,0,61,7,12,36.8,7,1.56,0,0,0,1,0.22,0,0,0,45,11.8,1,4,15,18,3,7,207,234,88.5,231,3,2,0,33,0,2,6,3,287,5,6,83.3,5,1,759,403,4,188,175,93.1,7
Stuart Armstrong,SCO,MF,Southampton,29,50000,25,15,1473,16.4,2,0,2,0,0,1,0,38,9,23.7,2.32,0.55,0.05,0.22,19.8,0,26,15,7,22,266,17,1,16,14,40,15,0,0,11,24,1,32,1,0,0,147,5,22,18.5,51,3.12,2,4,1,2,0.12,0,1,0,59,43.1,8,10,21,2,16,30,583,734,79.4,702,32,2,1,124,3,10,38,23,938,26,57,45.6,28,3,4564,2337,25,767,672,87.6,78
Shandon Baptiste,GRN,MF,Brentford,23,11923,22,9,910,10.1,1,1,1,0,0,2,1,12,4,33.3,1.19,0.4,0.08,0.25,18.9,0,7,4,3,10,204,15,0,15,21,28,11,0,1,7,15,1,5,0,0,0,82,11,22,33.3,17,1.68,1,0,2,2,0.2,0,0,1,41,26.6,3,13,22,10,15,15,254,305,83.3,302,3,1,1,58,0,5,11,4,412,14,19,73.7,14,0,1522,852,12,388,266,68.6,36
Ross Barkley,ENG,MF,Chelsea,27,96154,6,1,179,2,1,0,1,0,0,0,0,9,4,44.4,4.53,2.01,0.11,0.25,20.9,0,1,1,0,1,18,1,0,1,2,3,0,0,0,2,7,0,1,0,0,0,12,6,2,75,18,9.05,2,1,0,3,1.51,0,0,0,30,5.2,0,5,21,21,10,2,105,127,82.7,120,7,0,3,32,0,1,5,4,152,5,6,83.3,6,0,880,539,6,137,127,92.7,23
Donny van de Beek,NED,MF,Manchester Utd,24,120000,8,0,75,0.8,1,0,1,0,0,0,0,2,1,50,2.4,1.2,0.5,1,9.3,0,5,3,1,0,16,2,1,1,2,7,2,0,0,4,2,0,0,0,0,0,11,3,3,50,5,6,1,0,0,0,0,0,0,0,9,2.2,0,8,9,14,2,2,25,32,78.1,32,0,0,1,8,1,0,2,1,53,3,4,75,3,0,59,23,4,41,30,73.2,5
Donny van de Beek,NED,MF,Everton,24,120000,7,5,483,5.4,1,0,1,0,0,1,0,5,1,20,0.93,0.19,0.2,1,19.4,0,15,9,6,9,100,7,3,4,9,24,5,0,0,11,1,0,6,0,0,0,63,6,3,66.7,5,0.93,0,0,0,0,0,0,0,0,69,14.1,3,2,43,2,4,12,202,241,83.8,235,6,1,0,38,1,4,8,4,298,4,9,44.4,5,1,642,284,7,198,183,92.4,6
Rodrigo Bentancur,URU,MF,Tottenham,24,75000,17,16,1361,15.1,0,4,0,0,0,5,0,14,2,14.3,0.93,0.13,0,0,18.6,0,37,15,12,21,327,32,10,22,18,55,28,0,0,29,19,0,10,0,0,0,133,25,15,62.5,35,2.31,0,0,0,7,0.46,0,0,0,80,39.8,10,1,31,0,36,12,905,1015,89.2,995,20,17,2,134,0,6,20,21,1181,13,18,72.2,13,0,4113,2088,15,928,887,95.6,23
Johann Berg Gudmundsson,ISL,MF,Burnley,30,30000,18,13,1102,12.2,0,1,0,0,0,2,0,19,4,21.1,1.55,0.33,0,0,19.7,2,19,9,9,11,170,18,2,16,17,36,21,0,0,17,16,3,42,0,0,0,96,21,16,56.8,19,1.55,1,2,1,2,0.16,0,0,0,61,32.2,5,5,23,0,10,19,218,345,63.2,342,3,0,2,77,3,8,11,22,492,14,22,63.6,15,0,1682,815,18,383,302,78.9,58
Yves Bissouma,MLI,MF,Brighton,24,25000,26,25,2111,23.5,1,2,1,0,0,10,0,21,5,23.8,0.9,0.21,0.05,0.2,24,1,73,50,18,15,415,43,5,38,55,128,51,0,0,34,29,0,5,0,1,0,251,21,17,55.3,24,1.02,4,2,1,4,0.17,0,1,0,81,61.7,18,1,27,4,27,28,1061,1183,89.7,1161,22,20,1,159,2,7,30,16,1484,31,44,70.5,31,1,5868,2771,30,1024,971,94.8,15
Josh Brownhill,ENG,MF,Burnley,25,40000,35,32,2955,32.8,2,3,2,0,0,10,0,29,9,31,0.88,0.27,0.07,0.22,22.2,4,73,41,15,31,540,51,16,35,79,152,49,0,0,49,29,0,25,0,0,0,364,56,40,58.3,66,2.01,2,1,2,4,0.12,1,0,0,84,86.4,31,3,31,0,31,45,900,1191,75.6,1122,69,25,2,217,11,18,35,28,1523,15,23,65.2,17,1,3092,1268,21,872,785,90,45
Moises Caicedo,ECU,MF,Brighton,19,3462,8,8,660,7.3,1,1,1,0,0,2,0,10,4,40,1.36,0.55,0.1,0.25,17.5,0,20,12,6,8,141,13,4,9,12,32,11,0,0,9,16,1,2,0,0,0,84,11,6,64.7,10,1.36,1,0,0,2,0.27,0,0,0,83,19.3,4,0,,11,13,6,224,274,81.8,273,1,1,0,72,1,2,16,3,357,9,13,69.2,10,0,994,544,7,241,209,86.7,5
Tom Cleverley,ENG,MF,Watford,31,50000,28,20,1616,18,0,2,0,0,0,2,0,13,7,53.8,0.72,0.39,0,0,23.1,0,34,27,10,22,372,28,7,21,27,61,19,1,0,37,21,2,19,0,0,0,134,18,37,32.7,35,1.95,0,4,0,3,0.17,0,0,0,58,47.3,5,8,21,6,20,38,461,626,73.6,548,78,25,2,99,2,12,21,9,781,4,8,50,4,1,1337,571,11,542,442,81.5,36
Jack Cork,ENG,MF,Burnley,32,38077,20,20,1670,18.6,1,0,1,0,0,4,0,7,1,14.3,0.38,0.05,0.14,1,17.4,0,17,8,5,19,343,26,5,21,34,51,27,0,0,40,14,1,7,0,0,0,185,36,25,59,12,0.65,0,1,1,0,0,0,0,0,84,48.8,14,0,,18,19,26,432,573,75.4,566,7,3,0,108,3,10,26,19,723,10,13,76.9,11,0,1528,643,18,464,398,85.8,11
Luke Cundle,ENG,MF,Wolves,19,11538,4,2,180,2,0,0,0,0,0,0,0,0,0,,0,0,,,,0,4,3,1,0,43,1,0,1,2,6,2,0,0,6,1,0,0,0,0,0,16,0,4,0,3,1.5,0,0,0,0,0,0,0,0,45,5.3,1,2,4,29,2,1,96,106,90.6,103,3,1,1,12,0,1,3,1,118,0,1,0,0,0,333,160,1,92,87,94.6,4
Tom Davies,ENG,MF,Everton,23,25000,6,2,234,2.6,1,0,1,0,0,1,0,6,2,33.3,2.31,0.77,0.17,0.5,16.4,0,4,2,1,4,49,4,1,3,8,12,7,0,0,4,3,0,0,0,0,0,20,5,3,62.5,4,1.54,0,0,0,0,0,0,0,0,39,6.8,1,4,17,9,3,9,60,79,75.9,78,1,0,0,22,1,5,0,5,120,2,3,66.7,3,0,259,112,1,85,71,83.5,9
Kevin De Bruyne,BEL,MF,Manchester City,30,400000,30,25,2201,24.5,15,8,15,0,0,2,0,77,31,40.3,3.15,1.27,0.19,0.48,18.6,7,22,14,10,31,361,34,2,32,14,36,18,0,0,25,36,5,101,0,0,0,174,15,29,34.1,139,5.68,3,5,0,14,0.57,2,1,0,73,64.4,16,5,19,3,64,22,1172,1553,75.5,1382,171,49,10,207,9,33,72,52,1822,24,42,57.1,24,1,6188,4004,32,1553,1364,87.8,170
Fabian Delph,ENG,MF,Everton,31,80000,11,8,662,7.4,0,0,0,0,0,2,0,2,0,0,0.27,0,0,,25.5,0,19,13,6,16,127,13,5,8,19,38,9,0,0,11,7,0,1,0,0,0,83,5,5,50,5,0.68,0,0,1,0,0,0,0,0,60,19.4,2,3,24,5,6,6,263,308,85.4,303,5,4,0,63,1,2,6,6,384,6,7,85.7,6,0,1013,382,2,239,228,95.4,6
Leander Dendoncker,BEL,MF,Wolves,26,90000,30,21,1950,21.7,2,2,2,0,0,4,0,23,10,43.5,1.06,0.46,0.09,0.2,15.2,0,45,24,18,19,442,47,11,36,24,69,33,0,0,20,6,0,9,0,0,0,179,40,38,51.3,28,1.29,0,0,1,8,0.37,0,0,1,65,57,17,9,8,7,23,28,709,812,87.3,799,13,10,0,128,1,5,26,11,1013,7,14,50,7,1,2343,907,8,769,652,84.8,49
Kiernan Dewsbury Hall,ENG,MF,Leicester City,22,18654,28,23,2105,23.4,1,3,1,0,0,4,0,21,3,14.3,0.9,0.13,0.05,0.33,20.7,1,40,25,13,22,468,46,8,38,27,67,28,1,0,28,41,0,50,0,0,0,210,23,26,46.9,66,2.82,4,5,2,6,0.26,0,0,0,75,61.5,19,5,17,8,37,27,941,1220,77.1,1172,48,13,0,251,6,23,52,40,1509,26,45,57.8,29,1,6527,3689,50,1234,1083,87.8,95
Ibrahima Diallo,FRA,MF,Southampton,22,55000,23,10,1023,11.4,0,2,0,0,0,1,0,8,4,50,0.7,0.35,0,0,20.6,0,27,20,8,16,229,10,0,10,17,44,9,0,0,13,17,0,7,0,0,0,101,13,15,46.4,29,2.55,2,1,1,4,0.35,0,0,0,44,29.9,7,13,17,12,13,21,357,438,81.5,433,5,5,1,86,1,7,18,14,543,19,26,73.1,23,1,1924,983,15,431,366,84.9,16
Moussa Djenepo,MLI,MF,Southampton,23,55000,12,5,457,5.1,0,0,0,0,0,3,0,11,1,9.1,2.17,0.2,0,0,16.1,0,13,8,5,7,104,9,1,8,9,22,3,0,0,12,11,0,6,0,0,0,54,2,7,22.2,16,3.15,2,1,0,1,0.2,0,0,0,38,13.4,2,7,13,10,4,10,111,149,74.5,148,1,1,0,26,0,3,5,11,252,13,27,48.1,14,1,1058,748,15,194,156,80.4,20
Abdoulaye Doucoure,MLI,MF,Everton,28,75000,30,29,2537,28.2,2,4,2,0,0,6,0,34,10,29.4,1.21,0.35,0.06,0.2,17.3,0,76,45,26,44,656,42,8,34,41,117,33,0,0,54,20,1,8,0,0,0,355,44,52,45.8,53,1.88,2,0,1,7,0.25,1,0,0,85,74.2,27,1,7,1,33,47,877,1095,80.1,1076,19,12,2,248,2,17,44,33,1389,19,39,48.7,20,0,4095,2244,19,917,779,85,61
Harvey Elliott,ENG,MF,Liverpool,18,15000,6,4,346,3.8,0,0,0,0,0,0,0,10,1,10,2.6,0.26,0,0,17.2,0,3,1,1,6,94,9,1,8,3,6,4,0,0,2,7,0,7,0,0,0,45,1,4,20,21,5.46,1,2,0,1,0.26,0,0,0,58,10.1,2,2,20,6,7,2,210,249,84.3,241,8,0,0,23,2,0,7,10,301,2,7,28.6,2,0,1126,672,2,245,226,92.2,33
Mohamed Elneny,EGY,MF,Arsenal,29,50000,14,8,806,9,0,2,0,0,0,1,0,8,2,25,0.89,0.22,0,0,25.7,0,17,9,3,4,108,9,1,8,18,35,12,0,0,5,7,0,0,0,0,0,94,11,11,50,13,1.45,0,0,0,2,0.22,0,0,0,58,23.6,8,6,14,19,20,17,518,554,93.5,538,16,15,1,59,0,1,12,3,625,0,1,0,0,0,1844,791,2,473,455,96.2,4
Christian Eriksen,DEN,MF,Brentford,29,23462,11,10,939,10.4,1,4,1,0,0,1,0,22,8,36.4,2.11,0.77,0.05,0.13,23.2,5,18,10,9,4,150,13,1,12,10,28,11,0,0,6,4,0,30,0,0,0,85,6,9,40,53,5.08,0,2,0,7,0.67,0,1,0,85,27.5,10,1,39,0,20,10,472,634,74.4,523,111,43,3,66,3,9,12,13,743,7,17,41.2,7,1,2225,1290,10,547,481,87.9,23
Oghenekaro Etebo,NGA,MF,Watford,25,16538,9,4,401,4.5,0,0,0,0,0,3,0,3,0,0,0.67,0,0,,30.9,0,12,10,4,3,65,5,1,4,8,20,6,0,0,9,4,0,1,0,0,0,35,2,2,50,4,0.9,0,0,0,0,0,0,0,0,45,11.7,3,5,11,3,3,8,141,157,89.8,147,10,10,0,18,1,4,6,1,194,4,6,66.7,4,0,650,292,4,122,116,95.1,3
Fabinho,BRA,MF,Liverpool,27,180000,29,26,2314,25.7,5,1,3,2,2,7,0,19,7,36.8,0.74,0.27,0.16,0.43,18.8,1,57,37,19,43,413,51,10,41,56,113,30,0,0,49,39,0,6,0,0,0,312,45,28,61.6,39,1.52,0,4,1,5,0.19,0,0,0,80,67.7,21,3,27,1,62,18,1341,1522,88.1,1489,33,32,1,229,2,16,24,21,1786,8,11,72.7,8,0,4499,2154,16,1256,1208,96.2,36
Bruno Fernandes,POR,MF,Manchester Utd,26,240000,36,35,3111,34.6,10,6,10,0,2,10,0,87,29,33.3,2.52,0.84,0.11,0.34,21.2,6,59,45,24,50,610,29,0,29,38,97,40,3,0,44,60,3,82,0,0,0,258,23,33,41.1,145,4.19,4,4,3,10,0.29,1,0,0,86,91,26,1,31,0,49,54,1524,2024,75.3,1836,188,45,15,344,21,47,98,57,2422,23,51,45.1,27,5,7564,4247,48,2134,1776,83.2,202
Adam Forshaw,ENG,MF,Leeds United,29,20000,22,17,1530,17,0,1,0,0,0,5,0,14,4,28.6,0.82,0.24,0,0,25.5,1,51,28,21,27,408,19,1,18,30,81,19,1,0,38,21,2,5,0,0,0,190,13,15,46.4,27,1.59,0,0,0,1,0.06,0,0,0,70,44.7,13,5,23,4,20,41,678,810,83.7,782,28,24,1,123,6,11,25,15,971,9,16,56.3,9,0,3110,1403,17,712,624,87.6,25
Fred,BRA,MF,Manchester Utd,28,120000,28,24,2028,22.5,4,4,4,0,0,5,0,15,9,60,0.67,0.4,0.27,0.44,20.2,0,66,38,19,52,554,47,14,33,49,115,30,0,0,43,35,0,2,1,0,1,253,16,14,53.3,57,2.53,1,4,4,8,0.36,0,1,1,72,59.3,14,4,23,3,32,31,1123,1320,85.1,1284,36,30,4,210,4,18,40,34,1605,17,33,51.5,18,2,3897,1946,29,1195,1092,91.4,41
Conor Gallagher,ENG,MF,Crystal Palace,21,31923,34,33,2845,31.6,8,3,8,0,0,10,0,52,22,42.3,1.64,0.7,0.15,0.36,16.5,4,69,44,14,47,781,56,10,46,43,112,27,0,0,84,72,2,67,1,0,0,277,35,40,46.7,89,2.82,3,10,2,13,0.41,2,1,1,84,83.2,26,1,17,0,41,38,890,1167,76.3,1020,147,69,3,205,6,21,39,32,1588,45,71,63.4,47,1,4793,2025,54,1153,939,81.4,120
Billy Gilmour,SCO,MF,Norwich City,20,43269,24,21,1855,20.6,0,1,0,0,0,2,0,18,3,16.7,0.87,0.15,0,0,22.3,2,48,22,15,26,495,23,5,18,33,81,32,0,0,45,21,1,19,0,1,0,177,12,26,31.6,48,2.33,1,0,1,1,0.05,0,0,0,77,54.2,15,3,16,7,8,52,958,1200,79.8,1062,138,48,1,139,2,18,46,20,1399,15,25,60,21,2,4486,1953,12,1007,928,92.2,22
Andre Gomes,POR,MF,Everton,28,112308,14,7,619,6.9,0,1,0,0,0,3,0,14,4,28.6,2.04,0.58,0,0,22.3,0,15,9,7,15,198,13,2,11,11,26,3,1,0,33,8,0,3,0,0,0,82,6,13,31.6,13,1.89,2,1,0,2,0.29,1,0,0,44,18.1,2,7,21,7,10,19,213,279,76.3,269,10,4,0,46,0,7,17,8,372,12,15,80,13,1,1032,526,15,272,226,83.1,10
Dan Gosling,ENG,MF,Watford,31,35000,4,2,166,1.8,1,0,1,0,0,0,0,2,1,50,1.08,0.54,0.5,1,15.6,0,2,1,1,5,28,1,0,1,1,3,3,0,0,3,6,0,1,0,0,0,20,5,3,62.5,2,1.08,0,1,0,0,0,0,0,0,42,4.9,1,2,16,14,2,6,57,67,85.1,66,1,1,0,16,1,0,0,3,85,0,0,,0,0,259,107,2,61,52,85.2,6
Bruno Guimaraes,BRA,MF,Newcastle Utd,23,120000,17,11,1034,11.5,5,1,5,0,0,4,0,22,11,50,1.91,0.96,0.23,0.45,18.4,0,51,39,14,18,299,27,7,20,19,70,9,0,0,22,46,4,9,0,0,0,121,6,12,33.3,24,2.09,1,0,2,3,0.26,0,0,1,61,30.2,7,6,13,0,13,13,441,511,86.3,498,13,10,3,138,1,7,16,17,716,17,32,53.1,17,0,2777,1170,33,519,468,90.2,14
Ilkay Gundogan,GER,MF,Manchester City,30,140000,27,20,1857,20.6,8,4,8,0,0,1,0,55,18,32.7,2.67,0.87,0.15,0.44,13.9,2,21,11,9,16,196,19,3,16,27,48,10,0,0,17,17,2,24,0,0,0,132,13,15,46.4,71,3.44,5,0,1,7,0.34,1,0,0,69,54.3,15,7,24,8,62,10,1160,1325,87.5,1242,83,23,5,147,2,14,24,29,1512,21,32,65.6,22,3,5295,2409,26,1343,1201,89.4,120
Jordan Henderson,ENG,MF,Liverpool,31,140000,35,29,2597,28.9,2,5,2,0,0,3,0,31,6,19.4,1.07,0.21,0.06,0.33,23,1,37,24,16,31,467,31,3,28,43,80,17,0,0,33,13,3,48,0,0,0,322,23,20,53.5,78,2.7,2,0,1,11,0.38,0,0,0,74,75.9,18,6,30,0,73,22,1846,2202,83.8,2131,71,22,7,301,6,22,67,49,2403,17,26,65.4,18,3,7063,3187,13,1999,1846,92.3,115
Will Hughes,ENG,MF,Crystal Palace,26,53846,16,13,1053,11.7,0,1,0,0,0,6,0,6,0,0,0.51,0,0,,21.3,0,29,15,7,12,212,25,7,18,22,51,14,0,0,24,20,0,9,1,1,0,120,19,20,48.7,20,1.71,0,2,3,3,0.26,0,1,0,66,30.8,5,3,9,15,17,16,428,523,81.8,484,39,14,1,84,0,3,8,12,649,6,13,46.2,7,0,1665,786,11,406,377,92.9,9
Pierre Hojbjerg,DEN,MF,Tottenham,25,101923,36,36,3196,35.5,2,2,2,0,0,3,0,31,10,32.3,0.87,0.28,0.06,0.2,21.9,1,84,49,29,51,669,73,13,60,70,154,61,0,0,44,47,0,21,0,0,0,375,35,20,63.6,81,2.28,5,2,3,5,0.14,0,0,0,89,93.5,33,0,,1,66,34,2222,2485,89.4,2397,88,71,7,294,6,25,58,18,2845,40,57,70.2,41,2,8842,4451,27,2159,2068,95.8,51
Vitaly Janelt,GER,MF,Brentford,23,10000,31,27,2298,25.5,4,0,4,0,0,3,0,30,11,36.7,1.17,0.43,0.13,0.36,17.7,0,62,35,17,27,487,43,8,35,44,106,34,1,0,31,35,3,23,0,0,0,239,38,28,57.6,53,2.08,2,3,1,4,0.16,0,0,0,74,67.2,13,4,32,1,35,37,768,997,77,939,58,28,2,140,3,14,37,18,1256,17,22,77.3,18,2,3487,1743,12,911,747,82,54
Curtis Jones,ENG,MF,Liverpool,20,7500,15,10,851,9.5,1,1,1,0,0,0,0,19,7,36.8,2.01,0.74,0.05,0.14,22.1,0,12,9,2,7,212,5,0,5,10,22,2,0,0,12,26,1,2,0,0,0,76,7,10,41.2,26,2.75,2,3,2,2,0.21,0,0,0,57,24.9,4,5,16,10,26,9,534,591,90.4,574,17,6,0,90,1,3,11,10,694,18,28,64.3,18,1,3090,1490,21,616,563,91.4,43
Jorginho,ITA,MF,Chelsea,29,110000,29,26,2273,25.3,6,2,0,6,7,5,0,9,2,22.2,0.36,0.08,0,0,29.7,0,68,46,23,53,488,35,6,29,60,128,21,1,0,39,44,0,3,0,0,0,267,20,30,40,60,2.38,1,2,2,8,0.32,0,0,0,78,66.5,18,3,28,7,53,17,1664,1856,89.7,1807,49,49,7,324,2,16,53,14,2087,13,17,76.5,14,1,5730,2843,22,1624,1564,96.3,37
NGolo Kante,FRA,MF,Chelsea,30,289423,26,21,1773,19.7,2,4,2,0,0,2,0,17,9,52.9,0.86,0.46,0.12,0.22,18.6,0,57,34,19,19,385,37,2,35,44,101,14,0,0,30,26,0,11,0,0,0,176,18,19,48.6,61,3.1,4,0,3,13,0.66,1,0,0,68,51.8,11,5,22,1,34,19,1117,1282,87.1,1275,7,7,6,195,6,13,43,18,1521,31,46,67.4,31,1,5857,3347,34,1243,1155,92.9,79
Edo Kayembe,COD,MF,Watford,22,14808,13,9,799,8.9,0,0,0,0,0,0,0,6,0,0,0.68,0,0,,28.8,0,21,15,5,5,127,13,1,12,14,35,20,0,0,6,8,1,4,0,0,0,104,11,19,36.7,13,1.46,0,0,0,0,0,0,0,0,61,23.4,4,4,20,7,3,17,365,428,85.3,420,8,4,0,75,0,5,9,10,521,5,12,41.7,6,0,2203,1038,11,343,322,93.9,10
Naby Keita,GUI,MF,Liverpool,26,120000,23,14,1173,13,3,1,3,0,0,3,0,26,7,26.9,1.99,0.54,0.12,0.43,21.3,0,47,28,18,17,321,24,2,22,20,67,4,0,0,30,14,0,7,0,0,0,128,8,16,33.3,43,3.3,3,0,3,6,0.46,1,0,0,51,34.3,4,9,16,6,30,6,651,759,85.8,743,16,2,1,117,2,8,27,11,930,15,25,60,16,1,3079,1814,10,758,669,88.3,36
Mateusz Klich,POL,MF,Leeds United,31,7692,33,26,2073,23,1,2,1,0,0,5,0,42,18,42.9,1.82,0.78,0.02,0.06,20.3,0,49,26,19,47,595,24,6,18,31,80,24,0,0,45,19,2,28,0,1,0,226,8,20,28.6,68,2.95,3,3,1,6,0.26,0,0,0,79,46,15,3,42,1,21,40,786,1004,78.3,966,38,18,3,142,4,20,37,26,1244,19,29,65.5,21,1,4458,2115,31,1005,827,82.3,128
Cheikhou Kouyate,SEN,MF,Crystal Palace,31,65000,27,23,1974,21.9,0,1,0,0,0,3,0,8,0,0,0.36,0,0,,19.2,0,60,34,15,19,393,59,17,42,45,105,54,0,0,37,30,0,5,0,0,0,259,56,27,67.5,17,0.78,2,0,1,1,0.05,0,0,0,62,45.6,11,9,28,0,39,10,657,789,83.3,770,19,17,0,125,0,6,24,10,1064,13,20,65,14,0,2341,1041,18,573,534,93.2,6
Mateo Kovacic,CRO,MF,Chelsea,27,150000,25,16,1558,17.3,2,5,2,0,0,4,0,22,6,27.3,1.27,0.35,0.09,0.33,19.4,1,52,40,17,16,379,18,4,14,20,72,13,1,0,30,35,0,5,0,0,0,162,5,9,35.7,58,3.35,2,3,0,6,0.35,0,0,0,82,47.8,12,2,27,15,21,20,1065,1193,89.3,1173,20,19,11,155,3,7,37,15,1373,31,39,79.5,32,0,5756,3000,30,1123,1076,95.8,32
Alex Kral,CZE,MF,West Ham,23,20769,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50,0,0,0,0,0,0,0,0,0,0,90,76.3,29,0,,3,17,62,0,2,0,2,0,0,0,2,0,1,0,0,2,0,0,,0,0,4,0,0,0,0,,0
