players,nation,pos,club,age,weekly,mp,starts,minutes,90s,goals,assists,nonpkg,pkmade,pkatt,yellowcrd,redcrd,shots,shtont,shtont%,shot/90,shtont/90,goal/sht,goal/shtont,distance,fksht,plyrtkl,tklw,dribtkl,dribpast,press,blocks,shblck,passblck,int,tkl+int,clr,errleadsht,2yelcrd,fouls,fouldrwn,offsides,cross,pkwon,pkcon,og,recov,aerialwon,aeriallost,won%,sca,sca90,dribsa,fouldsa,defsa,gca,gca90,dribg,fouldg,defg,mn/mp,min%,cmplmatch,subbedon,mn/sub,unsub,ong,onga,passcomp,passatt,passcomp%,livepass,deadpass,fkpass,pasfrmtbck,unprpass,offpasses,outobound,intercpass,blckdpass,touches,succdrib,attdrib,succ%,plyrsdrib,nutmegs,totdist,prgdist,disposs,passtarg,passrecvd,passrec%,progpass
Milot Rashica,KVX,FWMF,Norwich City,25,30769,31,25,2229,24.8,1,2,1,0,0,0,0,45,16,35.6,1.82,0.65,0.02,0.06,21.4,7,33,21,14,20,328,27,3,24,36,69,20,0,0,28,52,13,80,0,0,0,139,17,38,30.9,56,2.26,2,2,2,4,0.16,0,0,0,90,63.2,24,0,,0,33,27,376,597,63,518,79,23,1,108,2,17,25,27,949,24,80,30,28,9,4671,3023,54,882,581,65.9,111
Richarlison,BRA,FWMF,Everton,24,90000,30,28,2523,28,10,5,7,3,3,9,0,70,20,28.6,2.5,0.71,0.1,0.35,15.8,2,40,27,13,12,590,48,5,43,21,61,32,0,0,40,83,20,29,1,0,0,185,57,176,24.5,62,2.21,1,10,1,8,0.29,0,1,0,39,3.5,0,2,21,15,2,5,352,570,61.8,553,17,1,3,214,3,20,35,51,1053,33,71,46.5,37,3,3245,1782,75,1282,665,51.9,142
Allan Saint-Maximin,FRA,FWMF,Newcastle Utd,24,38462,35,31,2804,31.2,5,5,5,0,0,6,0,64,26,40.6,2.05,0.83,0.08,0.19,19,0,9,6,2,16,257,17,1,16,21,30,2,0,0,24,71,13,69,0,0,0,179,19,30,38.8,114,3.66,23,7,3,9,0.29,0,1,0,87,79.1,27,0,,2,26,30,547,758,72.2,733,25,1,6,174,6,21,30,53,1222,140,230,60.9,150,4,8055,5125,119,1302,942,72.4,138
Bukayo Saka,ENG,FWMF,Arsenal,19,30000,38,36,2978,33.1,11,7,9,2,2,6,0,95,29,30.5,2.87,0.88,0.09,0.31,16.9,0,37,23,7,24,496,41,2,39,31,68,19,0,0,38,76,17,72,2,0,0,200,30,57,34.5,142,4.29,12,10,1,16,0.48,0,3,0,79,80.8,25,5,28,0,77,22,892,1184,75.3,1090,94,15,0,240,4,14,55,50,1671,49,100,49,51,7,7011,4694,63,1681,1212,72.1,233
Jadon Sancho,ENG,FWMF,Manchester Utd,21,350000,29,20,1900,21.1,3,3,3,0,0,0,0,26,9,34.6,1.23,0.43,0.12,0.33,14.6,0,18,13,7,16,276,28,2,26,24,42,5,2,0,7,9,7,32,0,0,0,145,2,22,8.3,82,3.88,9,1,0,8,0.38,2,0,0,36,10.4,0,7,20,17,2,8,810,982,82.5,953,29,2,1,168,3,5,63,19,1192,48,83,57.8,50,15,6057,4126,38,1139,925,81.2,142
Josh Sargent,USA,FWMF,Norwich City,21,12115,26,18,1572,17.5,2,1,2,0,0,1,0,26,2,7.7,1.49,0.11,0.08,1,15.3,0,34,17,13,19,361,43,2,41,21,55,18,2,0,13,29,4,13,0,0,0,103,42,53,44.2,26,1.49,1,4,0,2,0.11,1,0,0,10,1.4,0,4,9,7,0,2,298,402,74.1,393,9,0,0,121,0,7,20,20,652,18,34,52.9,18,1,2094,996,35,687,404,58.8,90
Ismaila Sarr,SEN,FWMF,Watford,23,63077,22,21,1861,20.7,5,2,5,0,1,2,0,38,15,39.5,1.84,0.73,0.13,0.33,18.2,0,14,7,2,12,398,21,1,20,16,30,13,0,0,21,47,12,48,0,0,0,105,13,23,36.1,44,2.13,4,4,2,3,0.15,0,0,0,68,16,4,2,18,21,6,7,330,467,70.7,458,9,2,0,94,0,8,27,27,759,35,68,51.5,37,8,3632,2416,56,856,560,65.4,129
Francisco Trincao,POR,FWMF,Wolves,21,130769,28,16,1336,14.8,2,1,2,0,0,0,0,31,13,41.9,2.09,0.88,0.06,0.15,18,1,29,15,6,8,338,21,1,20,15,44,1,0,0,16,23,1,24,0,0,0,95,5,20,20,39,2.63,9,2,1,2,0.13,0,0,0,72,12.5,3,1,23,1,8,5,353,458,77.1,434,24,6,1,92,1,2,19,20,683,44,92,47.8,53,13,2673,1583,25,695,483,69.5,96
Leandro Trossard,BEL,FWMF,Brighton,26,42500,34,32,2805,31.2,8,3,7,1,1,2,0,72,26,36.1,2.31,0.83,0.1,0.27,18.1,5,37,24,6,26,478,42,4,38,29,66,8,0,0,28,39,13,62,1,1,0,196,10,32,23.8,91,2.92,15,3,0,10,0.32,2,1,0,67,25.6,8,4,17,23,23,6,913,1181,77.3,1138,43,10,5,242,5,10,50,55,1592,59,78,75.6,60,3,6773,3699,90,1550,1196,77.2,203
Christos Tzolis,GRE,FWMF,Norwich City,19,19231,14,3,336,3.7,0,0,0,0,0,0,0,6,2,33.3,1.61,0.54,0,0,18.9,0,6,2,3,7,69,4,0,4,2,8,2,0,0,3,5,2,9,0,0,0,25,4,18,18.2,11,2.95,0,0,0,0,0,0,0,0,74,10.8,3,2,50,29,2,7,75,102,73.5,101,1,0,0,43,0,5,1,7,145,0,4,0,0,0,613,392,4,145,102,70.3,29
Nikola Vlasic,CRO,FWMF,West Ham,23,70000,19,6,560,6.2,1,0,1,0,0,0,0,7,3,42.9,1.13,0.48,0.14,0.33,17.6,0,13,11,4,16,150,6,0,6,10,23,2,0,0,9,19,3,15,0,0,0,44,6,11,35.3,18,2.89,2,2,0,0,0,0,0,0,31,19.9,1,17,19,0,7,7,170,220,77.3,219,1,1,0,69,0,6,11,7,290,7,12,58.3,8,1,1321,696,13,278,206,74.1,50
Timo Werner,GER,FWMF,Chelsea,25,271923,21,15,1283,14.3,4,1,4,0,0,1,0,45,16,35.6,3.16,1.12,0.09,0.25,13.1,0,7,4,0,17,248,11,1,10,4,11,3,0,0,13,15,11,28,0,0,0,72,9,22,29,26,1.82,4,0,0,4,0.28,0,0,0,85,66.9,23,1,31,0,20,40,302,399,75.7,384,15,0,0,75,1,5,12,26,563,13,34,38.2,16,3,2268,1177,28,700,440,62.9,137
Yoane Wissa,COD,FWMF,Brentford,24,11923,30,12,1284,14.3,7,1,7,0,0,0,0,33,13,39.4,2.31,0.91,0.21,0.54,15.4,0,14,8,0,15,190,16,5,11,9,23,8,0,0,11,27,7,12,0,0,0,67,26,27,49.1,19,1.33,1,4,0,4,0.28,0,1,0,80,40,6,0,,0,15,26,191,280,68.2,274,6,3,0,58,1,4,15,16,427,17,24,70.8,17,3,1405,832,12,520,289,55.6,79
Hakim Ziyech,MAR,FWMF,Chelsea,28,100000,23,14,1319,14.7,4,3,4,0,0,3,0,53,19,35.8,3.62,1.3,0.08,0.21,20.7,3,20,11,4,21,266,18,1,17,20,40,9,0,0,30,38,5,65,0,0,0,131,11,18,37.9,64,4.37,6,3,1,7,0.48,1,0,0,87,60.8,22,0,,1,33,29,543,737,73.7,678,59,11,3,96,5,14,29,29,974,35,66,53,37,10,3390,1698,39,824,702,85.2,119
Alisson,BRA,GK,Liverpool,28,150000,36,36,3240,36,0,1,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,2,6,1,0,1,0,0,1,2,0,0,5,0,0,0,0,1,224,0,0,,3,0.08,0,0,0,1,0.03,0,0,0,90,94.7,36,0,,0,87,24,1178,1360,86.6,1127,233,62,2,96,0,18,19,0,1462,2,3,66.7,2,0,2944,1615,0,835,829,99.3,0
Alphonse Areola,FRA,GK,West Ham,28,140000,1,1,90,1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,90,2.6,1,0,,37,0,1,20,41,48.8,24,17,3,0,6,0,0,1,0,42,0,0,,0,0,48,12,0,20,20,100,0
Kepa Arrizabalaga,ESP,GK,Chelsea,26,150000,4,4,360,4,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,,0,0,0,0,0,0,0,0,0,0,90,10.5,4,0,,34,6,2,115,139,82.7,110,29,8,0,18,0,3,0,0,149,0,0,,0,0,253,117,0,81,81,100,0
Daniel Bachmann,AUT,GK,Watford,27,3269,12,12,1080,12,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,57,0,0,,0,0,0,0,0,0,0,0,0,0,90,31.6,12,0,,25,10,28,211,357,59.1,234,123,36,0,19,2,14,4,1,394,1,1,100,1,0,926,587,0,146,145,99.3,0
